,presentation_id,user_id,presentation_title,slide_type,slide_title,slide_subheading,slide_description,slide_order,answer_count,participant_answered,total_participant,answer_percentage,last_answer_time
0,3539619,126,Telstra Enterprise - End of Year Meeting,Open Ended,What were our biggest wins as a team in 2022?,,,1.0,3,2,21,9.523809523809524,2023-01-19 05:16:55.433
1,4711804,126,Product demo - CEO section 23/08/2023,Short Answer,Điểm chung giữa Dating Advice for Men và Long-term Product OKR là...,,,36.0,16,16,30,53.333333333333336,2023-08-23 09:27:33.066
2,4711804,126,Product demo - CEO section 23/08/2023,Short Answer,What is the negative impact of this account upgrade handler function on devs and QA? (415 lines of code),,,33.0,17,17,30,56.666666666666664,2023-08-23 09:22:52.585
3,3281307,126,Bali Third Day 2022,Poll,Your party style,,,2.0,15,15,24,62.5,2022-08-19 09:05:24.466
4,5164094,126,Product Demo 20/12/2023 - CEO section - training,Open Ended,What can a designer use ChatGPT for?,,,21.0,12,7,24,29.166666666666668,2023-12-20 08:57:50.008
5,5183110,1472007,Impact Meeting 12/2023,Pick Answer,We are covering all the office hours of which countries?,,Office hours is 8am to 5pm,83.0,25,25,36,69.44444444444444,2023-12-29 03:08:40.294
6,4711804,126,Product demo - CEO section 23/08/2023,Scales,Let's see where we are...,,,5.0,352,22,30,73.33333333333333,2023-08-23 08:41:26.115
7,5183110,1472007,Impact Meeting 12/2023,Match Pairs,Remember the wishes for Santa?,,,109.0,27,27,36,75.0,2023-12-29 03:26:30.401
8,5183110,1472007,Impact Meeting 12/2023,Open Ended,"Send your love, feedback, wishes for the Marketing team in 2024",,,66.0,13,12,36,33.33333333333333,2023-12-29 02:55:59.568
9,6877258,1472007,AhaSlides 6th Birthday - The Game,Pick Answer,Growing from 0 was tough. Which growth channels was effective at the beginning?,,Pick 2,9.0,29,29,35,82.85714285714286,2025-05-16 13:03:55.506
10,6877258,1472007,AhaSlides 6th Birthday - The Game,Pick Answer,Our first organic user was in...,,,3.0,30,30,35,85.71428571428571,2025-05-16 13:00:59.923
11,4271407,1918789,About me Cheryl,Open Ended,How many countries (exc Vietnam) have you travelled?,,,12.0,22,22,30,73.33333333333333,2023-04-14 09:23:45.098
12,4271407,1918789,About me Cheryl,Pick Answer,Which movies do I like?,,,17.0,22,22,30,73.33333333333333,2023-04-14 09:28:42.035
13,4474647,126,Product training: Learning vs Improvement,Poll,Which hypothesis should be chosen to validate? Why?,,(Assuming that they are all relevant to the Learning OKR),33.0,38,16,21,76.19047619047619,2023-06-13 09:51:33.765
14,4474647,126,Product training: Learning vs Improvement,Pick Answer,How to tell if a User Story is for Learning?,,,5.0,17,17,21,80.95238095238095,2023-06-13 09:11:29.181
15,5003136,126,Product demo 08/11/2023 - CEO section: the cultural disadvantages for building products in Vietnam,Poll,"Ra khỏi bến BRT, bạn sẽ đi đường nào tiếp?",,,28.0,13,13,25,52.0,2023-11-08 09:15:43.814
16,5217850,126,Product OKR Q1/2024 introduction - Dave's section,Open Ended,"There's a ""CEO budget"" of 8 points in Q1. What do you think Dave should spend it on?",,,13.0,11,11,21,52.38095238095239,2024-01-11 09:03:07.442
17,4392853,126,AhaSlides Birthday 12/03/2023 - CEO section,Poll,🌻 SUNSHINE AWARD 🌻,,You can vote up to 2,71.0,39,21,37,56.75675675675676,2023-05-12 11:27:36.600
18,7182146,1918789,Customer Knowledge Assessment Survey,Poll,How do you prefer to learn new information?,,,13.0,50,19,33,57.57575757575758,2025-09-02 14:36:25.937
19,5218652,1472007,Hồng Ngọc - Health checkup - 2024 Survey,Scales,III. After the the health checkup Hồng Ngọc Phúc Trường Minh,,"III. Sau khi hoàn thành khám
1. Tôi được bác sĩ giải thích và tư vấn cụ thể về kết quả khám sơ bộ
2. Tôi được nhận kết quả khám chi tiết nhanh chóng qua điện thoại
3. Kết quả khám chi tiết của tôi được giữ bảo mật và riêng tư
4. Dịch vụ khác có ok ko",6.0,384,24,29,82.75862068965517,2024-01-18 01:41:48.041
20,4718355,1918789,User Persona,Open Ended,Why do organization place importance on learning and development?,,,12.0,6,6,22,27.27272727272727,2023-08-31 03:51:19.470
21,4737126,1472007,Impact Meeting 31/08/2023,Open Ended,When was the last time someone made an impact on you? E.g. I started jogging because I saw Nathan cycling on Strava,,"Impact = changing your routine, your plan
Work-related or Life-related is OK",26.0,17,13,30,43.333333333333336,2023-08-31 02:46:45.622
22,4737126,1472007,Impact Meeting 31/08/2023,Poll,What usually happen to you?,,,19.0,32,17,30,56.666666666666664,2023-08-31 02:36:21.637
23,6279766,1472007,GDPR Crash Course 2,Pick Answer,A participant reports that their quiz performance was shared with others without their consent. What is the FIRST step AhaSlides should take?,,,39.0,15,15,29,51.724137931034484,2024-12-11 16:11:57.433
24,6279766,1472007,GDPR Crash Course 2,Pick Answer,Which principle is not implemented on AhaSlides system?,,,8.0,15,15,29,51.724137931034484,2024-12-11 15:08:12.311
25,5580542,126,AhaSlides Birthday 2024,Word Cloud,Hi AhaSliders! How are you feeling right now?,,Please use one English word!,2.0,30,21,39,53.84615384615385,2024-05-11 13:21:11.789
26,5695604,126,Integrations,Poll,Do you want to join the Integration objective?,,,21.0,12,12,24,50.0,2024-06-21 09:35:50.392
27,6005326,1472007,Impact Meeting Sep 2024,Pick Answer,What is Chloe Pham's name in Vietnamese?,,,8.789473684210526,28,28,39,71.7948717948718,2024-10-04 02:52:08.741
28,6005326,1472007,Impact Meeting Sep 2024,Match Pairs,Match them!,,,8.444444444444445,28,28,39,71.7948717948718,2024-10-04 02:39:11.738
29,6154447,1472007,GDPR Crash Course 1,Pick Answer,"During an audit, AhaSlides is asked to demonstrate its GDPR compliance practices. Which of the following would best demonstrate the principle of Accountability?",,,39.0,17,17,23,73.91304347826086,2024-11-19 16:24:40.956
30,6154447,1472007,GDPR Crash Course 1,Pick Answer,A verified user requests their presentation data in a structured format to use on another platform. How should AhaSlides handle this request under GDPR?,,,36.0,16,16,23,69.56521739130434,2024-11-19 16:22:52.429
31,6801653,1918789,30/4 - Sài Gòn xưa và nay,Pick Answer,Hình ảnh trên thương hiệu xà bông Cô Ba là của ai?,,,29.0,23,23,34,67.64705882352942,2025-04-25 08:28:23.131
32,6801653,1918789,30/4 - Sài Gòn xưa và nay,Pick Answer,8. Ai là tác giả của bài hát này?,,,21.0,23,23,34,67.64705882352942,2025-04-25 08:25:03.418
33,6763610,1472007,American English vs. British English at AhaSlides (11/04/2025),Open Ended,I’d suggest this change to improve this session…,,,38.0,1,1,31,3.225806451612903,2025-04-11 09:59:00.669
34,5164094,126,Product Demo 20/12/2023 - CEO section - training,Open Ended,What can a QA use ChatGPT for?,,,17.0,10,9,24,37.5,2023-12-20 08:49:58.603
35,5218652,1472007,Hồng Ngọc - Health checkup - 2024 Survey,Scales,IV. In summary,,"IV. Tổng kết event
1. Tôi thấy hài lòng về chất lượng dịch vụ của BV Hồng Ngọc
2. Tôi nắm được tình hình sức khỏe hiện tại của mình
3. Tôi cảm thấy vui vì công ty đã quan tâm tới sức khỏe nhân viên
4. tôi mong được tổ chức khám sức khỏe hàng năm",7.0,600,24,29,82.75862068965517,2024-01-18 01:42:34.511
36,5578203,126,Disagreement 10/05/2024,Pick Answer,What NOT to say when you want to disagree?,,You must check all the correct ones!,17.0,19,19,34,55.88235294117647,2024-05-10 10:12:48.044
37,6005326,1472007,Impact Meeting Sep 2024,Open Ended,Please share your appreciation for the CS & Ops team,,,18.833333333333332,9,7,39,17.94871794871795,2024-10-04 03:31:01.356
38,4474647,126,Product training: Learning vs Improvement,Scales,Where are you?,,,2.0,612,17,21,80.95238095238095,2023-06-13 09:08:03.659
39,5822909,1472007,Presentation test,Poll,Which do you prefer?,,,1.0,3,3,25,12.0,2025-10-10 06:55:59.574
40,2738234,126,Impact Meeting 09/03/2022,Open Ended,Góp ý cho buổi Impact meeting tiếp theo,,,4.0,5,5,24,20.833333333333336,2022-03-10 03:06:28.750
